hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.191
9,0.488
10,0.759
11,1.027
12,1.255
13,1.407
14,1.482
15,1.284
16,0.825
17,0.345
18,0.026
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
