hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.003
8,0.237
9,0.717
10,1.277
11,1.709
12,2.214
13,2.352
14,2.549
15,2.551
16,2.4
17,1.881
18,1.198
19,0.475
20,0.027
21,0.0
22,0.0
23,0.0
