hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.1
8,0.495
9,0.874
10,1.209
11,1.539
12,1.812
13,2.004
14,2.621
15,1.897
16,1.091
17,0.443
18,0.088
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
