hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.117
8,0.572
9,1.226
10,1.927
11,2.644
12,2.759
13,2.713
14,2.566
15,2.443
16,2.386
17,2.022
18,1.399
19,0.688
20,0.169
21,0.0
22,0.0
23,0.0
