hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.022
9,0.256
10,0.791
11,1.657
12,2.28
13,2.619
14,2.516
15,2.106
16,1.095
17,0.225
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
