hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.011
7,0.237
8,0.72
9,1.418
10,2.027
11,2.507
12,3.01
13,3.322
14,3.32
15,2.947
16,2.598
17,1.399
18,0.603
19,0.301
20,0.106
21,0.004
22,0.0
23,0.0
