hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.018
8,0.371
9,1.155
10,1.999
11,2.693
12,3.187
13,3.374
14,3.263
15,2.984
16,2.625
17,2.039
18,1.263
19,0.544
20,0.058
21,0.0
22,0.0
23,0.0
