hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.005
8,0.418
9,1.35
10,2.257
11,3.009
12,3.49
13,3.716
14,3.716
15,3.503
16,3.061
17,2.381
18,1.509
19,0.584
20,0.027
21,0.0
22,0.0
23,0.0
