hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.092
9,0.839
10,1.8
11,2.326
12,2.188
13,1.768
14,1.298
15,0.78
16,0.325
17,0.036
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
