hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.018
8,0.431
9,1.406
10,2.361
11,3.077
12,3.58
13,3.805
14,3.804
15,3.577
16,3.083
17,2.117
18,1.328
19,0.489
20,0.048
21,0.0
22,0.0
23,0.0
