hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.006
7,0.151
8,0.322
9,0.531
10,0.842
11,1.3
12,2.112
13,3.098
14,3.692
15,3.563
16,3.173
17,2.574
18,1.804
19,0.945
20,0.275
21,0.022
22,0.0
23,0.0
