hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.074
8,0.501
9,1.228
10,1.897
11,2.433
12,2.8
13,2.916
14,2.718
15,2.598
16,2.431
17,2.052
18,1.387
19,0.644
20,0.123
21,0.0
22,0.0
23,0.0
