hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.165
8,0.587
9,1.146
10,1.53
11,2.189
12,2.894
13,3.413
14,3.412
15,3.251
16,2.884
17,2.121
18,1.132
19,0.593
20,0.216
21,0.005
22,0.0
23,0.0
