hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.038
8,0.513
9,1.513
10,2.427
11,2.987
12,3.38
13,3.492
14,3.36
15,3.056
16,2.596
17,2.027
18,1.316
19,0.522
20,0.077
21,0.0
22,0.0
23,0.0
