hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.16
8,0.568
9,1.106
10,1.616
11,2.035
12,2.42
13,2.664
14,2.753
15,2.653
16,2.368
17,1.98
18,1.393
19,0.689
20,0.23
21,0.005
22,0.0
23,0.0
