hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.14
8,0.554
9,1.168
10,1.828
11,1.914
12,1.749
13,1.841
14,1.724
15,1.535
16,1.234
17,0.87
18,0.541
19,0.319
20,0.098
21,0.0
22,0.0
23,0.0
