hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.126
8,0.471
9,0.939
10,1.38
11,1.965
12,2.601
13,2.666
14,2.215
15,1.46
16,0.829
17,0.523
18,0.298
19,0.134
20,0.031
21,0.0
22,0.0
23,0.0
