hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.046
9,0.543
10,1.457
11,1.635
12,1.642
13,2.345
14,2.508
15,1.891
16,0.918
17,0.163
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
