hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.01
7,0.217
8,0.699
9,1.595
10,2.443
11,3.065
12,3.489
13,3.71
14,3.689
15,3.502
16,3.104
17,2.481
18,1.718
19,0.881
20,0.205
21,0.039
22,0.0
23,0.0
