hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.225
9,1.149
10,2.069
11,2.659
12,2.957
13,2.995
14,2.684
15,2.245
16,1.432
17,0.473
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
