hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.007
9,0.576
10,1.461
11,2.305
12,2.76
13,3.2
14,3.173
15,2.81
16,1.921
17,0.936
18,0.487
19,0.029
20,0.0
21,0.0
22,0.0
23,0.0
