hour,production
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.127
8,0.56
9,1.364
10,2.15
11,2.781
12,3.211
13,3.405
14,3.403
15,3.289
16,2.907
17,2.323
18,1.573
19,0.767
20,0.171
21,0.0
22,0.0
23,0.0
